company_name,website,category,employee_band
CoreEndpoint Logic,coreendpointlogic.com,MSP Platform,5-20
CoreLesson Works,corelessonworks.com,LMS,251-500
CorePeople Works,corepeopleworks.co,HR,21-50
CoreRx Flow,corerxflow.io,Medical,21-50
CoreTalent Base,coretalentbase.io,HR,21-50
CoreUptime Point,coreuptimepoint.co,MSP Platform,51-100
CoreVitalTech,corevitaltech.net,Medical,5-20
Crest GridTech,crestgridtech.io,MSP Platform,51-100
Crest LedgerSoft,crestledgersoft.com,ERP,21-50
Crest OrderBase,crestorderbase.co,ERP,51-100
Crest PerformCloud,crestperformcloud.io,HR,21-50
Crest ShiftCloud,crestshiftcloud.com,HR,251-500
CrestBatch Suite,crestbatchsuite.com,ERP,5-20
CrestEndpoint Labs,crestendpointlabs.com,MSP Platform,5-20
CrestOnboard Works,crestonboardworks.com,HR,5-20
CrestOrderSuite,crestordersuite.com,ERP,5-20
CrestPatchWorks,crestpatchworks.io,MSP Platform,101-250
CrestPayrollPlatform,crestpayrollplatform.com,HR,51-100
CrestPeopleCloud,crestpeoplecloud.io,HR,5-20
CrestRx Core,crestrxcore.com,Medical,51-100
CrestShift Base,crestshiftbase.io,HR,101-250
Crown OpsHub,crownopshub.io,ERP,5-20
Crown PeopleWorks,crownpeopleworks.com,HR,251-500
Crown StockLogic,crownstocklogic.net,ERP,101-250
Crown TeamPoint,crownteampoint.com,HR,51-100
CrownBenefit Soft,crownbenefitsoft.com,HR,5-20
CrownCare Base,crowncarebase.co,Medical,5-20
CrownChart Desk,crownchartdesk.com,Medical,5-20
CrownChartSoft,crownchartsoft.co,Medical,251-500
CrownCoursePoint,crowncoursepoint.net,LMS,101-250
CrownDocket Systems,crowndocketsystems.io,Legal,251-500
CrownForgeSystems,crownforgesystems.com,ERP,5-20
CrownGrid Logic,crowngridlogic.io,MSP Platform,501-1000
CrownHealth Cloud,crownhealthcloud.co,Medical,5-20
CrownLaw Core,crownlawcore.com,Legal,51-100
CrownMonitorDesk,crownmonitordesk.io,MSP Platform,5-20
CrownOpsDynamics,crownopsdynamics.com,ERP,1001-5000
CrownOps’s Flow,crownopsflow.com,ERP,101-250
CrownPatientCore,crownpatientcore.net,Medical,21-50
CrownPayroll Soft,crownpayrollsoft.net,HR,5-20
CrownPlanPlatform,crownplanplatform.io,ERP,21-50
CrownRemote Point,crownremotepoint.com,MSP Platform,5-20
CrownResourceCore,crownresourcecore.com,ERP,51-100
CrownResourceSoft,crownresourcesoft.net,ERP,5-20
CrownStockSystems,crownstocksystems.co,ERP,21-50
CrownTalent Desk,crowntalentdesk.com,HR,101-250
CrownVérdict Solutions,crownverdictsolutions.com,Legal,101-250
Delta ClinicFlow,deltaclinicflow.net,Medical,251-500
Delta ForgeCloud,deltaforgecloud.io,ERP,21-50
Delta MatterTech,deltamattertech.com,Legal,5-20
Delta PatchBase,deltapatchbase.com,MSP Platform,101-250
Delta RxSuite,deltarxsuite.net,Medical,251-500
Delta StockCloud,deltastockcloud.com,ERP,5-20
DeltaClauseLogic,deltaclauselogic.com,Legal,21-50
DeltaCounselBase,deltacounselbase.net,Legal,101-250
DeltaFin Flow,deltafinflow.com,ERP,5-20
DeltaFinSync,deltafinsync.com,ERP,101-250
DeltaGrid Flow,deltagridflow.com,MSP Platform,1001-5000
DeltaMedDynamics,deltameddynamics.io,Medical,5-20
DeltaRoster Platform,deltarosterplatform.co,HR,51-100
DeltaTeamFlow,deltateamflow.com,HR,51-100
DeltaTicketLogic,deltaticketlogic.net,MSP Platform,51-100
Délta ShiftCore,deltashiftcore.com,HR,501-1000
Ember BenefitSuite,emberbenefitsuite.com,HR,1001-5000
Ember OrderDesk,emberorderdesk.net,ERP,501-1000
Ember PatchSolutions,emberpatchsolutions.com,MSP Platform,101-250
Ember PlanDynamics,emberplandynamics.net,ERP,501-1000
Ember PulseDesk,emberpulsedesk.com,Medical,51-100
Ember ShiftPlatform,embershiftplatform.com,HR,5-20
Ember StackTech,emberstacktech.com,MSP Platform,21-50
Ember VerdictBase,emberverdictbase.com,Legal,501-1000
EmberBenefitWorks,emberbenefitworks.io,HR,21-50
EmberCaseDesk,embercasedesk.io,Legal,51-100
EmberFinBase,emberfinbase.io,ERP,501-1000
EmberMedApp,embermedapp.com,Medical,5-20
EmberNet Labs,embernetlabs.com,MSP Platform,5-20
EmberNode Systems,embernodesystems.io,MSP Platform,21-50
EmberPatchSphere,emberpatchsphere.com,MSP Platform,21-50
EmberPayroll Point,emberpayrollpoint.io,HR,21-50
EmberPeopleSystems,emberpeoplesystems.com,HR,5-20
EmberRx Hub,emberrxhub.net,Medical,51-100
EmberTalent Desk,embertalentdesk.com,HR,21-50
EmberUptimeCore,emberuptimecore.io,MSP Platform,501-1000
Ember’s PlanSync,emberplansync.com,ERP,21-50
Falcon BatchCloud,falconbatchcloud.com,ERP,251-500
Falcon CaseLabs,falconcaselabs.com,Legal,501-1000
Falcon ChartHub,falconcharthub.com,Medical,51-100
Falcon ForgeCore,falconforgecore.com,ERP,51-100
Falcon PlanPoint,falconplanpoint.io,ERP,101-250
Falcon ShiftSync,falconshiftsync.com,HR,51-100
Falcon StackLabs,falconstacklabs.com,MSP Platform,51-100
Falcon StockBase,falconstockbase.com,ERP,251-500
FalconBatchSphere,falconbatchsphere.io,ERP,51-100
FalconCare Hub,falconcarehub.com,Medical,5-20
FalconCare Sync,falconcaresync.co,Medical,5-20
FalconChain Solutions,falconchainsolutions.co,ERP,501-1000
FalconChartSuite,falconchartsuite.com,Medical,251-500
FalconClinicSync,falconclinicsync.com,Medical,21-50
FalconCompliPoint,falconcomplipoint.com,Legal,5-20
FalconForgePlatform,falconforgeplatform.io,ERP,101-250
FalconLesson Tech,falconlessontech.com,LMS,5-20
FalconMed Desk,falconmeddesk.io,Medical,5-20
FalconNode Platform,falconnodeplatform.com,MSP Platform,251-500
FalconOnboard Core,falcononboardcore.com,HR,101-250
FalconRosterPoint,falconrosterpoint.com,HR,5-20
FalconSkill App,falconskillapp.com,LMS,51-100
FalconTriage Sync,falcontriagesync.net,Medical,5-20
FalconTutorLabs,falcontutorlabs.com,LMS,21-50
Fusion CounselDynamics,fusioncounseldynamics.io,Legal,101-250
Fusion GridFlow,fusiongridflow.com,MSP Platform,251-500
Fusion MedSolutions,fusionmedsolutions.net,Medical,21-50
Fusion ResourceSphere,fusionresourcesphere.com,ERP,51-100
FusionBatchDesk,fusionbatchdesk.com,ERP,251-500
FusionEndpoint Soft,fusionendpointsoft.com,MSP Platform,501-1000
FusionMonitorBase,fusionmonitorbase.net,MSP Platform,5-20
FusionStack Dynamics,fusionstackdynamics.com,MSP Platform,5-20
FusionTriageTech,fusiontriagetech.io,Medical,501-1000
Golden PlanCloud,goldenplancloud.com,ERP,5-20
Golden ResourceCloud,goldenresourcecloud.co,ERP,5-20
Golden RxCore,goldenrxcore.io,Medical,51-100
Golden TicketPlatform,goldenticketplatform.io,MSP Platform,21-50
GoldenEndpointLabs,goldenendpointlabs.io,MSP Platform,21-50
GoldenFin Platform,goldenfinplatform.io,ERP,101-250
GoldenLedgerLogic,goldenledgerlogic.com,ERP,21-50
GoldenMatter Labs,goldenmatterlabs.io,Legal,501-1000
GoldenNetPlatform,goldennetplatform.net,MSP Platform,101-250
GoldenQuizFlow,goldenquizflow.io,LMS,251-500
GoldenRemote Sync,goldenremotesync.com,MSP Platform,101-250
GoldenStock Sync,goldenstocksync.com,ERP,5-20
GoldenTutor Systems,goldentutorsystems.co,LMS,5-20
Granite CareSolutions,granitecaresolutions.net,Medical,5-20
Granite CompliSuite,granitecomplisuite.com,Legal,251-500
Granite FinWorks,granitefinworks.com,ERP,51-100
Granite MedDynamics,granitemeddynamics.com,Medical,5-20
Granite NetLogic,granitenetlogic.com,MSP Platform,51-100
Granite RxFlow,graniterxflow.com,Medical,5-20
GraniteCaseLogic,granitecaselogic.com,Legal,1001-5000
GraniteChain Platform,granitechainplatform.com,ERP,5-20
GraniteChain Systems,granitechainsystems.com,ERP,21-50
GraniteChainSolutions,granitechainsolutions.net,ERP,1001-5000
GraniteFin Flow,granitefinflow.com,ERP,51-100
GraniteHealthBase,granitehealthbase.com,Medical,21-50
GraniteMonitor Base,granitemonitorbase.io,MSP Platform,251-500
GraniteNetDesk,granitenetdesk.com,MSP Platform,5-20
GranitePatientPlatform,granitepatientplatform.com,Medical,51-100
GraniteResourceApp,graniteresourceapp.io,ERP,21-50
GraniteRx Sphere,graniterxsphere.io,Medical,101-250
GraniteStockApp,granitestockapp.com,ERP,21-50
GraniteTriage Systems,granitetriagesystems.com,Medical,21-50
GraniteTutorSoft,granitetutorsoft.com,LMS,5-20
GraniteUptime Sphere,graniteuptimesphere.com,MSP Platform,5-20
GranitéTeam Point,graniteteampoint.com,HR,21-50
Halo LedgerSolutions,haloledgersolutions.io,ERP,5-20
Halo TicketCore,haloticketcore.co,MSP Platform,1001-5000
Halo VerdictWorks,haloverdictworks.com,Legal,501-1000
HaloBenefit Cloud,halobenefitcloud.com,HR,51-100
HaloCulturePlatform,halocultureplatform.com,HR,101-250
HaloFiling Sync,halofilingsync.com,Legal,5-20
HaloFin Tech,halofintech.com,ERP,21-50
HaloHealth Tech,halohealthtech.com,Medical,21-50
HaloPerformSolutions,haloperformsolutions.com,HR,5-20
HaloShift Systems,haloshiftsystems.com,HR,251-500
HaloStack Base,halostackbase.com,MSP Platform,501-1000
HaloStackDynamics’s,halostackdynamics.com,MSP Platform,501-1000
Harbor ChainApp,harborchainapp.com,ERP,21-50
Harbor ClauseBase,harborclausebase.io,Legal,251-500
Harbor FinHub,harborfinhub.com,ERP,251-500
Harbor ForgeSync,harborforgesync.io,ERP,501-1000
Harbor NodeDynamics,harbornodedynamics.co,MSP Platform,5-20
Harbor OpsCloud,harboropscloud.net,ERP,21-50
HarborBenefit Suite,harborbenefitsuite.com,HR,21-50
HarborChart’s Dynamics,harborchartdynamics.io,Medical,251-500
HarborCounselSync,harborcounselsync.io,Legal,101-250
HarborGrid App,harborgridapp.com,MSP Platform,101-250
HarborOps Dynamics,harboropsdynamics.net,ERP,21-50
HarborPatchTech,harborpatchtech.net,MSP Platform,5-20
HarborPathLogic,harborpathlogic.com,LMS,21-50
HarborPatientSystems,harborpatientsystems.com,Medical,5-20
HarborResourceHub,harborresourcehub.com,ERP,501-1000
HarborResourceTech,harborresourcetech.io,ERP,101-250
HarborVitalDesk,harborvitaldesk.com,Medical,251-500
Indigo BatchBase,indigobatchbase.com,ERP,101-250
Indigo BriefPlatform,indigobriefplatform.com,Legal,101-250
Indigo OnboardLogic,indigoonboardlogic.co,HR,51-100
Indigo PeopleSync,indigopeoplesync.com,HR,51-100
IndigoBenefitPoint,indigobenefitpoint.co,HR,5-20
IndigoCareDesk,indigocaredesk.io,Medical,5-20
IndigoCultureSystems,indigoculturesystems.com,HR,501-1000
IndigoFinFlow,indigofinflow.com,ERP,51-100
IndigoPulseSphere,indigopulsesphere.net,Medical,5-20
IndigoResourceDynamics,indigoresourcedynamics.net,ERP,5-20
IndigoStack’s Solutions,indigostacksolutions.net,MSP Platform,21-50
Iron BenefitFlow,ironbenefitflow.io,HR,501-1000
Iron MedCloud,ironmedcloud.com,Medical,21-50
Iron MedHub,ironmedhub.com,Medical,21-50
Iron PlanSystems,ironplansystems.com,ERP,5-20
Iron PulseSolutions,ironpulsesolutions.com,Medical,51-100
Iron StackCore,ironstackcore.com,MSP Platform,251-500
Iron StockSystems,ironstocksystems.io,ERP,5-20
IronBatch Logic,ironbatchlogic.co,ERP,51-100
IronBriefLabs,ironbrieflabs.io,Legal,5-20
IronChainDynamics,ironchaindynamics.com,ERP,21-50
IronClinicPlatform,ironclinicplatform.com,Medical,5-20
IronCohort Logic,ironcohortlogic.com,LMS,21-50
IronCounsel Desk,ironcounseldesk.net,Legal,21-50
IronCultureSync,ironculturesync.io,HR,51-100
IronFilingLogic,ironfilinglogic.net,Legal,21-50
IronGrid Sync,irongridsync.net,MSP Platform,251-500
IronMed App,ironmedapp.com,Medical,251-500
IronMonitor Suite,ironmonitorsuite.com,MSP Platform,51-100
IronOps Systems,ironopssystems.co,ERP,5-20
IronOps Tech,ironopstech.io,ERP,251-500
IronPulse Suite,ironpulsesuite.com,Medical,5-20
IronResourceCloud,ironresourcecloud.com,ERP,251-500
IronRoster Tech,ironrostertech.com,HR,251-500
IronTriage Desk,irontriagedesk.com,Medical,21-50
IronVitalWorks,ironvitalworks.com,Medical,251-500
Juniper ChartDynamics,juniperchartdynamics.com,Medical,101-250
JuniperChainSolutions,juniperchainsolutions.com,ERP,501-1000
JuniperClauseSphere,juniperclausesphere.com,Legal,5-20
JuniperClinicDesk,juniperclinicdesk.com,Medical,251-500
JuniperLedger Works,juniperledgerworks.com,ERP,21-50
JuniperNodeSync,junipernodesync.com,MSP Platform,101-250
JuniperOnboard Point,juniperonboardpoint.co,HR,5-20
JuniperPatchTech,juniperpatchtech.com,MSP Platform,21-50
JuniperPlan Dynamics,juniperplandynamics.co,ERP,5-20
JuniperTalent Platform,junipertalentplatform.io,HR,21-50
JuniperTicketFlow,juniperticketflow.com,MSP Platform,251-500
JuniperVerdict Flow,juniperverdictflow.com,Legal,5-20
Keystone CareLabs,keystonecarelabs.com,Medical,5-20
Keystone HealthCloud,keystonehealthcloud.com,Medical,21-50
Keystone HealthSuite,keystonehealthsuite.io,Medical,21-50
Keystone VitalPoint,keystonevitalpoint.com,Medical,5-20
KeystoneCohort Labs,keystonecohortlabs.com,LMS,1001-5000
KeystoneCulture Core,keystoneculturecore.com,HR,21-50
KeystoneNetTech,keystonenettech.io,MSP Platform,21-50
KeystoneOpsSphere,keystoneopssphere.net,ERP,5-20
KeystonePeople Sync,keystonepeoplesync.net,HR,251-500
KeystonePerform Suite,keystoneperformsuite.com,HR,501-1000
KeystonePulse Works,keystonepulseworks.co,Medical,5-20
KeystonePulseLogic,keystonepulselogic.com,Medical,21-50
KeystoneRosterApp,keystonerosterapp.com,HR,101-250
KeystoneRx Labs,keystonerxlabs.com,Medical,5-20
Kéystone QuizSuite,keystonequizsuite.com,LMS,251-500
