entity_id,canonical_name,canonical_phone,categories,n_raw_rows
59,North PatchSystems,7064919730,MSP Platform,33
60,Onyx Order Recruiting,5265605073,ERP,15
61,Clear ResourceLogic,8075579878,ERP,30
62,PolarisOnboardBase,8104757771,HR,22
63,Arch Health Talent Agency,6282515734,Medical,17
64,OnyxOrderBase,3635052597,ERP,20
65,Pioneer CareSoft,8537239842,Medical,36
66,IndigoChain Hub,4535330866,ERP,29
67,GoldenOrder Hub,4507325289,ERP,38
68,QuantumOps Cloud,7464357912,ERP,39
69,Polaris Payroll Talent Agency,2717584359,HR,15
70,Granite PayrollDynamics,6353963778,HR,29
71,PolarisOnboard Labs,6728389424,HR,33
72,Zen UptimePlatform,9877507944,MSP Platform,18
73,SableOps Solutions,2339733620,ERP,30
74,Nova MedDesk,7318171478,Legal|Medical,65
75,GraniteRxSolutions,2908948507,Medical,39
76,SummitBatch Dynamics,5028908829,ERP,29
77,VertexRemoteSync,4318620999,MSP Platform,33
78,IronPayrollApp,9703826641,HR,36
79,BrightTriageLogic,5714739863,Medical,39
80,Clear PatchCore,9866017790,MSP Platform,33
81,Umbra Patch Talent Agency,5229129915,MSP Platform,22
82,ZephyrEndpoint Works,7676660600,MSP Platform,27
83,PolarisForge Flow,8413480623,ERP,35
84,ClearTalentSoft,4155646290,HR,22
85,VeloEndpoint Labs,9214185071,MSP Platform,26
86,RavenLearn Labs,9734057827,LMS,35
87,Solid ResourceSystems,8096223311,ERP,37
88,CrestTeam Soft,6913171826,HR,29
89,BrightPeoplePlatform,2429199777,HR,27
90,OmniCompli Dynamics,7403566051,Legal,27
91,AnchorForge Works,5164788847,ERP,28
92,Golden ResourceHub,7963777535,ERP,32
93,Fusion LedgerFlow,4833080082,ERP,34
94,Rapid RemoteWorks,8817645643,MSP Platform,31
95,RavenPatient Suite,4422586771,Medical,31
96,ArchCulture Works,4163639973,HR,20
97,IndigoCareDesk,5929546823,Medical,34
98,TidalOps Platform,2628017483,ERP,30
99,Arch VerdictLogic,7383212206,Legal,16
100,Nimbus PayrollCore,8292109503,HR,38
101,FalconStock Systems,7823285793,ERP,34
102,Delta OrderSoft,7219182973,ERP,35
103,WillowResource Solutions,7942482615,ERP,30
104,Omni TalentPlatform,5618842911,HR,38
105,EmberCulture Labs,2417900963,HR,35
106,Omni OpsSync,7899951183,ERP,31
107,TrueFin’s Soft,6555222952,ERP,32
108,ApexSkillSync,3552107933,HR|LMS,51
109,MosaicRemoteLabs,9283672851,MSP Platform,25
110,PivotPayroll Sync,7807638617,HR,24
111,Core TriageFlow,4236395514,Medical,41
112,Nimbus HealthFlow,2755011054,Medical,33
113,ApexClinicDynamics,6904704296,Medical,32
114,Rapid StockTech,3694553503,ERP,29
115,ZenStack Sphere,8439532047,MSP Platform,28
116,GraniteClinicPoint,4088738686,Medical,37
117,QuartzDocket Tech,8875497175,Legal,26
118,LatticeChain Sphere,3908107429,ERP,34
119,Raven ChartLogic,8549992331,Medical,27
120,Rapid Perform Staffing,8433451757,HR,22
121,Bright RosterFlow,4285330421,HR,33
122,ArchTicket Desk,5658361317,MSP Platform,24
123,CedarChart Platform,2475098309,Medical,32
124,Nova RosterLabs,2587998348,HR,29
125,Ember StackCloud,9829645581,MSP Platform,23
126,CedarFiling Flow,7965148476,Legal,19
127,Clear OpsSuite,5472680808,ERP,29
128,Falcon CultureCloud,8303266016,HR,26
129,ClearTalentSphere,7156027629,HR,28
130,XenonPeople Base,6555634207,HR,31
131,Falcon ForgePlatform,6408994052,ERP,20
132,Alta OpsPlatform,3988590111,ERP,38
133,MosaicPatiént Base,5967238874,Medical,33
134,CoreVitalCloud,8394165603,Medical,32
135,LatticeRoster Soft,7026419147,HR,32
136,Prime LawSync,4899261847,Legal,33
137,Umbra People Talent Agency,8413576524,HR,11
138,Bold RxSync,6158686603,Medical,33
139,NorthForge Desk,5714936543,ERP,36
140,BrightQuizFlow,7694353320,LMS,25
141,Raven TrainWorks,4017554407,LMS,36
142,Lattice CareDesk,9183150611,Medical,28
143,ZephyrRemote Cloud,8496243872,MSP Platform,24
144,DeltaChainLabs,4744932420,ERP,26
145,Iron BenefitSolutions,2789320649,HR,37
146,Keystone BenefitLogic,3772520305,HR,29
147,RidgewayRosterLogic,6627359405,HR,39
148,Iron TrainSync,5144642811,LMS,35
149,SilverStockPlatform,6428755003,ERP,34
150,Nimbus PlanTech,5403753299,ERP,29
151,Cedar RxSync,6078486487,Medical,36
152,Cobalt ClinicApp,4822695947,Medical,38
153,Core ClinicSync,6788939014,Medical,26
154,Falcon DocketDynamics,3388305068,Legal,33
155,ZephyrUptimeSoft,9425975626,MSP Platform,27
156,SummitTalentWorks,8548457994,HR,32
157,HaloNodeHub,8827126667,MSP Platform,24
158,MetaFiling Systems,5272991671,Legal,21
159,NimbusPlanLabs,8532845188,ERP,32
160,Golden LedgerWorks,5732239122,ERP,38
161,Cobalt OnboardDynamics,4629856576,HR,29
162,SummitUptime Systems,8586664559,MSP Platform,38
163,BrightBatch Labs,3594381597,ERP,26
164,Nova OrderSync,6832937979,ERP,25
165,WillowLessonSuite,7777846585,LMS,27
166,Pioneer FinTech,7609231485,ERP,31
167,BoldPatch Flow,9294235492,MSP Platform,39
168,ZephyrResourceTech,3345618078,ERP,31
169,GraniteBenefitBase,5847874217,HR,31
170,FusionPlan Hub,8847055203,ERP,37
171,RidgeBatchTech,9739247096,ERP,29
172,BoldNetDesk,7966856171,MSP Platform,40
173,WillowDocket Labs,9839436940,Legal,30
174,NimbusTriage Flow,3393297960,Medical,28
175,IronPayroll Core,3126044540,HR,28
176,Prime CounselSolutions,3822049311,Legal,33
177,GraniteCulture Point,3538530588,HR,26
178,MetaGrid Sync,9785295872,MSP Platform,32
179,Solid StackLabs,9865690841,MSP Platform,27
180,IndigoStockBase,3966727285,ERP,27
181,BeaconPeopleTech,5253129362,HR,26
182,Rapid MedBase,3236309736,Medical,37
183,GoldenEndpointLabs,7827861261,MSP Platform,30
184,GoldenChain Tech,8176631104,ERP,26
185,BlueMatterApp,2513592580,Legal,33
186,SummitLearnBase,3583416499,LMS,29
187,Quantum OrderSoft,7677048510,ERP,24
188,ClearTicket Desk,2684824775,MSP Platform,36
189,North ClinicSuite,7404763399,Medical,36
190,Quantum TriageHub,4229233190,Medical,28
191,PolarisShiftDesk,6886292747,ERP|HR,55
192,SilverMentorSystems,3138197003,LMS,29
193,PioneerShift Logic,2808202260,HR,24
194,VistaPeople Sync,4942686726,HR,38
195,CrownTalent Soft,4829273285,HR,33
196,AtlasPeople App,3096823218,HR,32
197,FalconOrder Solutions,2652396863,ERP,25
198,VeloRx Systems,6555058940,Medical,33
199,IronResourceLogic,5297514749,ERP,27
200,NimbusTriageCloud,4308991446,Medical,33
201,Bold PatientSolutions,8788803816,Medical,15
202,Cedar BatchPoint,2086631161,ERP,28
203,MetaPayroll Labs,2135686818,HR,35
204,BoldStack Base,6974444004,MSP Platform,30
205,KeystoneRosterApp,3544455879,HR,32
206,WillowTalentFlow’s,7332951851,HR,30
207,NorthForgeHub,8564969243,ERP,37
208,Velo VitalTech,5536702975,Medical,32
209,Quantum MatterBase,3164773979,Legal,23
210,FusionCounselHub,4544525315,Legal,29
211,Cobalt BenefitBase,9154003246,HR,29
212,MosaicRemoteSync,8934939644,HR|MSP Platform,56
213,WillowPlanDynamics,7408994624,ERP,25
214,Harbor UptimeCore,6676124303,MSP Platform,37
215,VertexDocketDesk,5649505771,Legal,34
216,OmniRosterLogic,9797796865,HR,24
217,DeltaCulturePoint,7952631056,HR,33
218,RidgewayMedLabs,8977283321,Medical,33
219,Alta PeopleFlow,8327627877,HR,33
220,Atlas ShiftPoint,9603391159,HR,26
221,WillowChartPoint,2969995668,Medical,33
222,VeloTriageSphere,5526435130,Medical,31
223,GraniteQuiz Soft,6784993542,LMS,33
224,Apex PayrollSoft,6694792704,HR,27
225,Ridgé PulseDynamics,2496656353,Medical,37
226,Pioneer Forge Outsourcing,3512902014,ERP,23
227,KeystoneRxSoft,9617520041,Medical,26
228,SilverPeopleFlow,2849550098,HR,31
229,Rapid CultureCore,6867698457,HR,28
230,Beacon FinTech,6637658127,ERP,32
231,EmberPatchSphere,5903421883,MSP Platform,28
232,CoreRx Flow,8287287222,Medical,27
233,VeloOpsLogic,5456129978,ERP,28
234,RidgeFiling Solutions,5676199659,Legal,19
235,BlueOpsLogic,2747738379,ERP,29
236,CedarMatter Desk,6174200891,Legal,37
237,Onyx PulseSoft,6659351959,Medical,29
238,DeltaMedApp,2977743569,Medical,29
239,UmbraResource Solutions,8568051201,ERP,28
240,Ember TriageTech,7447737428,Legal|Medical,60
241,BluePerform Logic,3416199201,HR,31
242,NorthBenefit Works,5429833224,HR,26
243,TidalPathPoint,7399097347,LMS,38
244,CrestBatch Suite,2396177183,ERP,32
245,IronCounselWorks,9618919367,Legal,32
246,North StackFlow,2824613086,MSP Platform,21
247,NimbusCohortBase,7744467560,LMS,24
248,GraniteChain Platform,4167185707,ERP,38
249,CobaltMéd Flow,9147775386,Medical,27
250,TrueLaw Systems,3756553360,Legal,32
251,NimbusPlan’s Soft,3565515321,ERP,33
252,VeloBenefitSync,9378681251,HR,20
253,Quartz CultureLabs,3759911862,HR,36
254,GoldenCourse Systems,2937789861,LMS,32
255,NimbusChain Sync,9302242273,ERP,40
256,SummitOps Cloud,2283672335,ERP,29
257,LumenRoster Sync,6116652801,HR,28
258,PrimeStock Hub,3098907571,ERP,33
259,Golden MatterCloud,6344911320,Legal,25
260,SolidShift Base,4687802908,HR|LMS,51
261,True TicketPoint,4133225924,MSP Platform,30
262,SilverResource Dynamics,8356865269,ERP,34
263,Iron StockSync,2823261539,ERP,33
264,BlueForge Suite,6276920401,ERP,37
265,SilverResource Systems,3943912209,ERP,39
266,RidgewayMedApp,2204574516,ERP|Medical,57
267,KeystoneOnboard Tech,7954098978,HR,24
268,MetaGrid Sphere,6766865598,MSP Platform,29
269,Meta TrainSync,8238525645,LMS,33
270,VeloCulture Desk,8868180807,HR,22
271,CorePatientSync,2176208999,Medical,30
272,Quantum MonitorCore,9746837160,MSP Platform,29
273,QuantumMedHub,2955953100,Medical,30
274,Mosaic FinApp,8673236371,ERP,37
275,AltaOnboard Flow,3562416343,HR,27
276,True PulseSystems,5309997852,Medical,33
277,AnchorBatch Desk,3323719912,ERP,27
278,ZephyrPatchCloud,5068987120,MSP Platform,33
279,Summit PerformSuite,2444143471,HR,35
280,Quartz Patch Consulting Group,3657395621,MSP Platform,20
281,AnchorHealth Point,5984641101,Medical,39
282,Mosaic CounselApp,7107045896,Legal,34
283,NorthFin Sphere,6783640957,ERP|MSP Platform,39
284,NimbusHealth Tech,5674421426,Medical,18
285,FusionResource Point,9392102381,ERP,26
286,Xenon PlanFlow,4605165707,ERP,40
287,CrestRosterSuite,9305669658,HR,34
288,ApexOrder Logic,4049316352,ERP,30
289,Vertex GridApp,8019003693,MSP Platform,24
290,Lumen VitalSuite,8159150056,Medical,21
291,PolarisCareDynamics,7958958003,Medical,30
292,DeltaChartSystems,2513217584,Medical,24
293,RidgewayTeam Flow,3248240193,HR,33
294,FusionPayroll Platform,2043179402,HR,31
295,WillowMatter Flow,2198920697,Legal,32
296,Prime StockSuite,3095228161,ERP,31
297,Keystone LedgerPlatform,6619536462,ERP,33
298,OnyxVerdict App,5025771581,Legal,30
299,MetaPatientLogic,5453335399,Medical,36
300,BeaconStack Base,4514666746,MSP Platform,21
301,Crest StackHub,7627732778,MSP Platform,31
302,CoreVerdictCloud,4976981376,Legal,26
303,CedarMatter Base,3635233630,Legal,19
304,Vista PerformApp,6663256883,HR,33
305,NimbusClauseFlow,6557468734,Legal,31
306,HaloRoster Platform,2016888703,HR,28
307,NorthPulse Systems,6856643908,Medical,23
308,ArchOps Desk,4138850179,ERP,36
309,JuniperTriage Base,4032137116,Medical,27
310,True OnboardSuite,9104007810,HR,22
311,CrestShift Base,6768957274,HR,38
312,GoldenMatterHub,9255428935,Legal,36
313,Arch CounselLogic,3263108894,Legal,25
314,ZephyrCompliDynamics,8704544109,Legal,33
315,Keystone MedSolutions,5119688895,Medical,27
316,RapidTriageSync,2162852486,Medical,36
317,Onyx OnboardSync,7197630906,HR,23
318,RidgeTicket Dynamics,6968236814,MSP Platform,34
319,QuartzStack Base,7872784820,MSP Platform,36
320,AnchorRx Hub,7076546924,Medical,31
321,AnchorForge Tech,6479243098,ERP,30
322,Falcon VitalSphere,2925521450,Medical,18
323,UmbraTutor Sphere,6933880488,LMS,34
324,Halo BatchLabs,7868624189,ERP,36
325,Raven StackSync,6542249473,MSP Platform,27
326,Mosaic UptimeDynamics,6355298631,MSP Platform,30
327,Quartz ClauseLogic,2333127657,Legal,36
328,OrbitVitalCore,3712948387,Medical,35
329,RapidRosterSolutions,2514200949,HR,23
330,Juniper TriageDynamics,8867458543,Medical,26
331,Quantum LearnLabs,4697131794,LMS,29
332,HarborCounselSync,9496120932,Legal,32
333,Beacon Uptime Manpower Services,4224497581,MSP Platform,14
334,PolarisDocketPoint’s,4995611953,Legal,37
335,Clear Pulse Recruiting,3865751451,Medical,21
336,Omni TalentDesk,3856395726,HR,25
337,KeystoneTeamPoint,4499673098,HR,31
338,WillowHealthWorks,9347814889,Medical,25
339,ClearTrain Cloud,2308928904,LMS,33
340,GraniteTriage Systems,6099140921,Medical,27
341,MosaicBatch Tech,9212914246,ERP,24
342,Onyx HealthPoint,5914629795,Medical,25
343,CrownOnboard Logic,7984849353,HR,38
344,Cedar ClinicTech,9077913870,Medical,20
345,CrestEndpointPlatform,8225108190,MSP Platform,29
346,Cobalt StockSuite,3353493934,ERP,32
347,NorthOnboard Core,8236285408,HR,35
348,TidalStockLabs,5982711373,ERP,35
349,Delta BatchSync,4867270914,ERP,26
350,RidgewayPlan Solutions,8454801322,ERP,27
351,NorthClauseSoft,7033387180,Legal,28
352,RidgeLawPlatform,4699763157,Legal,33
353,Ember PatientDynamics,6072001641,Medical,39
354,FusionOrderPoint,4877943963,ERP,24
355,ApexOnboard Desk,4162343489,HR,38
356,Crown TicketLabs,8184571266,MSP Platform,32
357,UmbraForge Suite,5035098596,ERP,33
358,AnchorCompli Desk,5596844854,Legal,30
359,Quartz CareSoft,6718571871,Medical,35
360,HaloStockTech,9149707481,ERP,22
361,Ember PerformSync,4816015481,HR,28
362,CoreTeamApp,9543405059,HR,24
363,Crown PeopleWorks,5447861128,HR,37
364,FusionResourceSync,6856368158,ERP,32
365,RavenChain Hub,4417689723,ERP,35
366,QuantumTalentWorks,7119718984,HR,24
367,RidgeOpsFlow,3232381876,ERP,34
368,LatticeBatchApp,8396050549,ERP,32
369,Harbor ForgeSync,7903494337,ERP|Medical,51
370,NovaChartFlow,8413719310,Medical,30
371,NimbusRoster Flow,5482951796,HR,33
372,Cedar PatientSync,3056190216,Medical,33
373,Anchor PatientSphere,3798457628,Medical,34
374,Golden RxDesk,4635068252,Medical,26
375,CrestPatch Works,2659027786,MSP Platform,30
376,Core LedgerApp,4473958976,ERP,28
377,Crest Case BPO Services,2228553003,Legal,21
378,SolidOnboardCore,6186668109,HR,26
379,DeltaTeamFlow,2528394325,HR,39
380,SolidPlanDynamics,2685256756,ERP,20
381,VistaLessonSuite,6234239211,LMS,27
382,FalconPlanSphere,8742182050,ERP,27
383,NimbusStack Labs,5319137294,MSP Platform,34
384,Pioneer UptimeDynamics,3388087311,MSP Platform,32
385,Nimbus RxLabs,7443453728,Medical,24
386,LumenPlan Flow,8622728573,ERP,32
387,PivotPayroll Suite,5844334474,HR,38
388,NovaBenefit Flow,5684797095,HR,35
389,CoreOrderDesk,9727345930,ERP,36
390,OnyxPlan Logic,5264785649,ERP,40
391,ApexMatterSoft,4156937293,Legal,34
392,Sable HealthLogic,9724300409,Medical,33
393,Meta PayrollDynamics,3625859153,HR,36
394,CrownTicket Sync,3557215667,MSP Platform,22
395,RidgewayPayrollSphere,7739465686,HR,35
396,Ridge MatterSphere,6313670926,Legal,26
397,IndigoClinicSystems,3818062687,Medical,30
398,NovaTalent Soft,2933909762,HR,18
399,ApexShift Point,8468221714,HR,22
400,PrimeBatch Desk,2456733190,ERP,23
401,Nimbus Case Manpower Services,3285439630,Legal,14
402,Zen ShiftLogic,2732973508,HR,34
403,RavenRx Labs,2475433321,Medical,34
404,ClearVital Desk,3733618606,Medical,17
405,SummitMentorPoint,3293418256,LMS,37
406,Ember Care Talent Agency,4186901827,Medical,20
407,AnchorMatterPoint,9884863999,Legal,38
408,CedarPeople Suite,6597796479,HR,38
409,TidalChartBase,4356985336,Medical,33
410,VeloPerform Hub,8316876312,HR,29
411,GranitePlan Dynamics,7543765833,ERP,36
412,AltaQuizLabs,3238297316,LMS,35
413,Tidal PerformPoint,2615189196,HR,21
414,Fusion CounselSystems,5934999478,Legal,25
415,HaloTutor Soft,3157776864,LMS,28
416,Beacon Ticket BPO Services,7705654679,MSP Platform,14
417,Iron CourseSphere,8884524096,LMS,29
418,HarborMonitorDynamics,5888331545,MSP Platform,25
419,EmberPerformSuite,3184708117,HR,36
420,CedarBatch’s Suite,9438488136,ERP,30
421,FusionMonitorFlow,4172190417,MSP Platform,34
422,Delta RemoteDesk,7447102631,MSP Platform,35
423,NimbusClauseCloud,4304717754,Legal,30
424,Anchor ForgeApp,8885111344,ERP,35
425,BeaconBriefBase,5643518203,Legal,38
426,Core OnboardWorks,8975593067,HR,28
427,QuartzQuiz Sphere,8552762365,LMS,32
428,Atlas PayrollTech,9508235670,HR,34
429,BlueMedFlow,2355571010,Medical,20
430,Golden HealthCloud,8829198378,Medical,21
431,SolidChart Suite,8872345662,Medical,28
432,ZenOrder Works,5236344410,ERP,32
433,Silver Chain Recruiting,5649923197,ERP,22
434,FusionOpsFlow,9068753133,ERP,28
435,Quantum OrderDesk,8182515719,ERP,26
436,Quantum ChartBase,7588840476,Medical,34
437,NorthUptime Cloud,4152350093,MSP Platform,36
438,OrbitPlanPlatform,7272227061,ERP|HR,30
439,Fusion CompliLabs,9322662946,Legal,38
440,NovaFin Logic,2682942968,ERP,39
441,NorthBatchTech,8447020133,ERP,29
442,ApexNet Sync,2379564711,MSP Platform,36
443,FalconCare Hub,6872690405,Medical,31
444,VeloNodeLabs,7673344328,MSP Platform,31
445,TrueBenefitSolutions,2179969605,HR,36
446,CoreMatter Suite,2633547666,Legal,33
447,OrbitOnboardLogic,3894354686,HR,24
448,IndigoBatchPoint,7173517797,ERP,36
449,LumenLearnSphere,2735961265,LMS,31
450,Xenon VerdictSolutions,6274573507,Legal,36
451,BoldGrid Sphere,6574890679,MSP Platform,25
452,MetaLawCloud,2698483020,Legal,28
453,Fusion’s PlanDynamics,6353994738,ERP,30
454,AnchorStackSphere,3474424141,MSP Platform,36
455,SableEndpoint Systems,8313949330,MSP Platform,31
456,BeaconOnboardBase,4913736711,HR,29
457,Blue PatchWorks,4277976133,MSP Platform,35
458,Halo TalentSphere,7389138017,HR,29
459,JuniperVitalWorks,4955499364,Medical,34
460,ArchPlanDesk,9868324454,ERP,35
461,TrueStackDesk,5484762694,MSP Platform,28
462,NorthOpsFlow,9174488021,ERP,19
463,Summit LawPlatform,4476466816,Legal,39
464,Prime BatchSystems,7672532765,ERP,35
465,SolidTalentFlow,4366463542,HR,31
466,FusionBatchSolutions’s,5847596061,ERP,19
467,DeltaHealthDynamics,2652148560,Medical,39
468,LumenCare Labs,3625413387,Medical,34
469,OmniDocketLabs,5254120551,Legal,36
470,RapidSkill Dynamics,7439745394,LMS,23
471,AnchorPatient Desk,5543444937,Medical,25
472,NimbusPatient Systems,2584460947,Medical,34
473,Omni MonitorHub,6842297350,MSP Platform,24
474,Nimbus ClinicCloud,9372938058,Medical,29
475,PivotFin Core,2849253925,ERP,30
476,NorthRoster Hub,5478319126,HR,32
477,Golden StockBase,7549181947,ERP,27
478,Tidal ClinicApp,3992820598,Medical,26
479,Crest MonitorSoft,8363643224,MSP Platform,41
480,JuniperTriageLabs,3087133237,Medical,31
481,RavenForgeFlow,2976142188,ERP,30
482,Ridgeway HealthDynamics,2612392095,Medical,38
483,JuniperClauseSphere,2355237462,Legal,22
484,QuantumOrder Cloud,2052107661,ERP,22
485,IronMentor App,9028828886,LMS,22
486,Falcon UptimeApp,5424394175,MSP Platform,28
487,Nova OpsDesk,6403034201,ERP,25
488,ClearOnboardDynamics,7298513963,HR,39
489,OnyxNode Labs,9544242861,MSP Platform,32
490,ZenOrder App,8724174179,ERP,33
491,PivotFiling’s Solutions,5399515261,Legal,25
492,Omni LawDesk,3069356379,Legal,30
493,NovaHealthHub,8564847058,Medical,26
494,QuantumCaseSoft,2804710176,Legal,29
495,Juniper Order Consulting Group,8687203496,ERP,13
496,Ember Learn Outsourcing,5684938379,LMS,17
497,RapidTutorPoint,2958797906,LMS,28
498,CobaltBriefPlatform,2775295036,Legal,31
499,ClearPathSolutions,8164627041,LMS,30
500,Blue LedgerLogic,8749457206,ERP,28
501,OmniClinicPoint,2119071520,Medical,37
502,LumenVitalSolutions,6033028034,Medical,21
503,HarborUptimeCore,4053100210,MSP Platform,31
504,RidgewayClinicTech,4475869553,Medical,17
505,CrownCare Base,4127454703,Medical,24
506,DeltaMonitorSync,3979260072,MSP Platform,29
507,QuartzRx Suite,8422674575,Medical,29
508,AtlasNodeHub,6506048332,MSP Platform,27
509,Bold DocketHub,3007840347,Legal,23
510,Mosaic ForgeWorks,2843097013,ERP,29
511,AnchorClinic Core,5314194503,Medical,30
512,Bright PulseFlow,7339619518,Medical,32
513,Orbit OnboardDynamics,8735227241,HR,36
514,Vista TeamPlatform,3345863843,HR,36
515,Orbit LedgerSuite,3167834700,ERP,33
516,RidgewayNode Hub,5376255317,MSP Platform,25
517,RidgewayForge Flow,7184280518,ERP,26
518,Summit VitalSphere,9839684022,Medical,30
519,EmberBriefDynamics,8635163679,Legal,22
520,Quantum CaseLogic,3246617633,Legal,32
521,Nimbus NodeApp,7303328240,MSP Platform,32
522,PioneerCounsel Soft,6913312958,LMS|Legal,48
523,SableStackApp,6139130575,HR|MSP Platform,55
524,ArchMonitor Suite,2324845016,MSP Platform,25
525,Ridgeway Case Manpower Services,2216904188,Legal,15
526,Nimbus TriageFlow,4965080891,Medical,37
527,PioneerVital Systems,6496220080,Medical,25
528,Vertex SkillBase,3562433197,LMS,41
529,WillowRosterSolutions,4116167646,HR,31
530,CrownClinicSync,4213144628,Medical,26
531,Crown PulsePlatform,4057106470,ERP|Medical,39
532,LatticeCourse Systems,7285864982,LMS,20
533,SilverBenefitBase,9406403526,HR,27
534,Onyx MentorFlow,3082901796,LMS,39
535,Anchor LessonSuite,7046169247,LMS,38
536,OnyxResourceDesk,9582965769,ERP,27
537,EmberTeam Dynamics,2348659174,HR,26
538,Falcon NetWorks,2186439092,MSP Platform,27
539,NovaCounsel Suite,6307922134,Legal,19
540,CrownChainSuite,2524100432,ERP,35
541,Quartz CompliSystems,3168932809,Legal,29
542,GoldenCareDesk,2045643330,Medical,30
543,XenonPeopleSolutions,6049650143,HR,28
544,MosaicVitalSoft,9155368774,Medical,34
545,Silver Plan BPO Services,7838330379,ERP,25
546,DeltaGrid Hub,5626727239,MSP Platform,41
547,BrightOps Soft,7233301600,ERP,31
548,XenonNodeTech,6737812733,MSP Platform,34
549,PivotChart Systems,3508742110,Medical,19
550,Zen FinApp,9106580969,ERP|HR,44
551,IronTriage Desk,4542553882,Medical,29
552,AtlasTeamSphere,8565838365,HR,29
553,Zephyr ResourceDynamics,2977959337,ERP,35
554,Solid’s TalentDynamics,5146441673,HR,35
555,ZenPulse Platform,8765613831,Medical,35
556,Solid StockLogic,3093286896,ERP,34
557,Keystone CultureSoft,3269960879,HR|Legal,51
558,IndigoChainDesk,4467549280,ERP,30
559,True Forge Talent Agency,3345031995,ERP,13
560,VeloQuiz Desk,8817348415,LMS,34
561,TrueOnboardHub,3887369915,HR,26
562,IronForgeSuite,6544239997,ERP,34
563,Mosaic VitalWorks,2957350800,Medical,27
564,KeystonePlanFlow,5854411912,ERP,26
565,Mosaic TriageSphere,3969424435,Medical,32
566,Quartz PayrollSync,9006780355,HR,32
567,GoldenPeoplePoint,2763074145,HR,33
568,AtlasCase Hub,5384260943,Legal,30
569,CrownLawLogic,5976855327,Legal,23
570,Ridge TicketPoint,5323945567,MSP Platform,33
571,Harbor BatchLabs,6425289441,ERP,34
572,BrightRxSuite’s,5384638918,Medical,29
573,RidgewayTutor Platform,7116317824,LMS,28
574,Sable CompliDesk,4458148456,Legal,32
575,VistaBrief Base,9737749004,Legal,28
576,OnyxChainDesk,3134613063,ERP,25
577,Lattice PayrollTech,5022130798,HR,27
578,LatticeLawSuite,7092806094,Legal,21
579,FalconBatchSphere,2018670328,ERP,34
580,ZephyrHealthBase,9867405866,Medical,35
581,Fusion StockDesk,4198993061,ERP,27
582,SableHealth Platform,3187595812,Medical,23
583,CoreVitalFlow,7293063484,Medical,30
584,Summit BenefitSoft,8253992297,HR,41
585,Vista Rx Consulting Group,7672228087,Medical,20
